(Total Revenue, '176,251,000', '168,088,000', '143,015,000', '125,843,000' '110,360,000')
         447116 function calls (430612 primitive calls) in 3.126 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      665    0.001    0.000    0.001    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      665    0.001    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      665    0.001    0.000    0.001    0.000 sre_parse.py:355(_escape)
      665    0.002    0.000    2.719    0.004 socket.py:655(readinto)
      665    0.001    0.000    2.712    0.004 ssl.py:1090(read)
      665    0.002    0.000    2.715    0.004 ssl.py:1230(recv_into)
      665    2.711    0.004    2.711    0.004 {method 'read' of '_ssl._SSLSocket' objects}
      628    0.000    0.000    0.000    0.000 __init__.py:739(handle_data)
      624    0.000    0.000    0.000    0.000 __init__.py:492(string_container)
      624    0.001    0.000    0.003    0.000 __init__.py:589(object_was_parsed)
      624    0.001    0.000    0.002    0.000 element.py:932(__new__)
      610    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      610    0.000    0.000    0.001    0.000 sre_parse.py:432(_uniq)
      603    0.000    0.000    0.000    0.000 element.py:1456(get)
      577    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
  566/537    0.000    0.000    0.000    0.000 typing.py:720(__hash__)
      542    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
      542    0.004    0.000    0.006    0.000 sre_compile.py:276(_optimize_charset)
  540/526    0.000    0.000    0.003    0.000 typing.py:255(inner)
      529    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      528    0.001    0.000    0.009    0.000 element.py:2060(search_tag)
      508    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      500    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      500    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      472    0.002    0.000    0.003    0.000 css_types.py:40(__init__)
      462    0.000    0.000    0.000    0.000 css_types.py:72(__hash__)
      448    0.000    0.000    0.000    0.000 _htmlparser.py:189(handle_data)
      442    0.004    0.000    0.004    0.000 {built-in method posix.stat}
      442    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
      408    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
      370    0.000    0.000    0.003    0.000 enum.py:313(__call__)
      360    0.000    0.000    0.000    0.000 enum.py:631(__new__)
      350    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      340    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      334    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      332    0.000    0.000    0.000    0.000 enum.py:417(__setattr__)
      325    0.001    0.000    0.003    0.000 css_parser.py:1115(selector_iter)
      320    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      311    0.000    0.000    0.000    0.000 css_parser.py:314(get_name)
      308    0.000    0.000    0.001    0.000 css_parser.py:250(css_unescape)
      302    0.004    0.000    0.071    0.000 {built-in method builtins.__build_class__}
      301    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
      289    0.000    0.000    0.000    0.000 typing.py:669(<genexpr>)
      285    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
      285    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
      284    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      282    0.000    0.000    0.077    0.000 re.py:250(compile)
      282    0.001    0.000    0.077    0.000 re.py:289(_compile)
      273    0.000    0.000    0.000    0.000 css_parser.py:346(match)
      272    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      272    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      272    0.000    0.000    0.001    0.000 enum.py:75(__setitem__)
      255    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
      243    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      243    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      237    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      230    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      227    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      226    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      223    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
      222    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
      221    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
      220    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
      219    0.001    0.000    0.001    0.000 __init__.py:617(_linkage_fixer)
      210    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
      201    0.000    0.000    0.000    0.000 types.py:171(__get__)
      198    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      193    0.000    0.000    0.001    0.000 element.py:266(stripped_strings)
      193    0.000    0.000    0.001    0.000 element.py:1330(_all_strings)
      190    0.000    0.000    0.000    0.000 dammit.py:2377(<genexpr>)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      184    0.003    0.000    2.103    0.011 {method 'read' of '_io.BufferedReader' objects}
      179    0.000    0.000    0.003    0.000 _htmlparser.py:251(handle_comment)
      179    0.000    0.000    0.003    0.000 _markupbase.py:168(parse_comment)
      173    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      165    0.000    0.000    0.000    0.000 enum.py:748(value)
  163/135    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      162    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
      159    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:376(cached)
      157    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
      153    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      143    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      142    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      142    0.000    0.000    0.001    0.000 enum.py:933(__and__)
      142    0.001    0.000    0.005    0.000 sre_compile.py:536(_compile_info)
      142    0.000    0.000    0.026    0.000 sre_compile.py:598(_code)
      142    0.001    0.000    0.075    0.001 sre_compile.py:759(compile)
      142    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      142    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
      142    0.000    0.000    0.048    0.000 sre_parse.py:937(parse)
      140    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      140    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      140    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:111(_path_isabs)
      140    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
      137    0.000    0.000    0.000    0.000 os.py:752(decode)
      137    0.000    0.000    0.000    0.000 typing.py:329(__hash__)
      136    0.000    0.000    0.000    0.000 css_parser.py:371(__init__)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:387(_freeze_relations)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:397(freeze)
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      130    0.000    0.000    0.001    0.000 typing.py:120(_type_check)
    127/4    0.000    0.000    0.147    0.037 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      123    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      121    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
      120    0.000    0.000    0.000    0.000 typing.py:172(_collect_type_vars)
      119    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      119    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      119    0.000    0.000    0.005    0.000 sre_parse.py:96(closegroup)
      119    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
      119    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
      119    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
      119    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
      119    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
      119    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
      118    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
      118    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
